year,level,score,percentage
2024,5*,85,85
2024,5,0,0
2024,4,65,65
2024,3,58,58
2024,2,47,47
2023,5*,84,84
2023,5,75,75
2023,4,56,56
2023,3,46,46
2023,2,35,35
2022,5*,81,81
2022,5,71,71
2022,4,58,58
2022,3,49,49
2022,2,30,30
2021,5*,90,90
2021,5,76,76
2021,4,65,65
2021,3,51,51
2021,2,36,36
2020,5*,82,82
2020,5,72,72
2020,4,59,59
2020,3,49,49
2020,2,45,45
2019,5*,81,81
2019,5,70,70
2019,4,58,58
2019,3,51,51
2019,2,38,38
2018,5*,85,85
2018,5,76,76
2018,4,63,63
2018,3,55,55
2018,2,38,38
2017,5*,86,86
2017,5,74,74
2017,4,61,61
2017,3,58,58
2017,2,44,44
2016,5*,86,86
2016,5,77,77
2016,4,64,64
2016,3,52,52
2016,2,39,39
2015,5*,97,97
2015,5,80,80
2015,4,74,74
2015,3,60,60
2015,2,57,57
2014,5*,84,84
2014,5,76,76
2014,4,65,65
2014,3,55,55
2014,2,53,53
2013,5*,82,82
2013,5,72,72
2013,4,67,67
2013,3,48,48
2013,2,55,55
2012,5*,90,90
2012,5,83,83
2012,4,65,65
2012,3,62,62
2012,2,58,58 
