year,level,score,percentage
2025,5**,267,73
2025,5*,241,65
2025,5,227,62
2025,4,199,54
2025,3,187,51
2025,2,148,40
2024,5**,240,68
2024,5*,228,65
2024,5,192,55
2024,4,176,50
2024,3,162,46
2023,5**,267,66
2023,5*,246,61
2023,5,229,57
2023,4,220,54
2023,3,200,50
2023,2,181,45
2022,5**,292,68
2022,5*,269,63
2022,5,250,58
2022,4,233,54
2022,3,208,48
2022,2,181,42
2021,5**,264,68
2021,5*,259,67
2021,5,240,62
2021,4,215,56
2021,3,194,50
2021,2,167,43
2020,5**,103,66
2020,5*,101,65
2020,5,96,62
2020,4,85,55
2020,3,81,52
2020,2,69,45
2019,5**,113,68
2019,5*,108,65
2019,5,103,62
2019,4,95,58
2019,3,90,55
2019,2,73,44
2018,5**,141,68
2018,5*,133,65
2018,5,128,62
2018,4,118,57
2018,3,109,53
2018,2,91,44
2017,5**,141,68
2017,5*,133,65
2017,5,128,62
2017,4,118,57
2017,3,108,52
2017,2,93,45
2016,5**,132,64
2016,5*,126,61
2016,5,119,58
2016,4,108,52
2016,3,99,48
2016,2,84,41
2015,5**,135,66
2015,5*,126,61
2015,5,119,58
2015,4,110,53
2015,3,102,50
2015,2,88,43
2014,5**,134,65
2014,5*,127,62
2014,5,120,58
2014,4,111,54
2014,3,107,52
2014,2,83,40
2013,5**,154,75
2013,5*,136,66
2013,5,124,60
2013,4,109,53
2013,3,100,49
2013,2,86,42
