year,level,score,percentage
2025,5**,155,88
2025,5*,142,80
2025,5,141,80
2025,4,117,66
2025,3,106,60
2025,2,93,53
2024,5**,155,89
2024,5*,143,82
2024,5,135,77
2024,4,122,70
2024,3,111,63
2024,2,84,48
2023,5**,163,90
2023,5*,151,83
2023,5,143,79
2023,4,121,66
2023,3,108,59
2023,2,97,53
2022,5**,96,96
2022,5*,88,88
2022,5,84,84
2022,4,71,71
2022,3,63,63
2022,2,56,56
2021,5**,94,94
2021,5*,88,88
2021,5,84,84
2021,4,74,74
2021,3,65,65
2021,2,60,60
2020,5**,81,81
2020,5*,84,84
2020,5,81,81
2020,4,70,70
2020,3,63,63
2020,2,53,53
2019,5**,163,89
2019,5*,149,81
2019,5,139,76
2019,4,118,64
2019,3,101,55
2019,2,77,42
2018,5**,160,88
2018,5*,144,79
2018,5,139,76
2018,4,126,69
2018,3,101,55
2018,2,79,43
2017,5**,161,87
2017,5*,147,79
2017,5,139,75
2017,4,115,62
2017,3,102,55
2017,2,0,0
2016,5**,159,88
2016,5*,143,79
2016,5,136,75
2016,4,112,62
2016,3,101,56
2016,2,95,52
2015,5**,156,88
2015,5*,142,80
2015,5,133,75
2015,4,113,64
2015,3,97,55
2015,2,87,49
2014,5**,26,72
2014,5*,24,67
2014,5,22,61
2014,4,19,53
2014,3,16,44
2014,2,12,33
2013,5**,97,89
2013,5*,92,84
2013,5,88,81
2013,4,74,68
2013,3,55,50
2013,2,28,26
