year,level,score,percentage
2024,5**,148,86
2024,5*,143,83
2024,5,131,76
2024,4,112,65
2024,3,85,49
2023,5**,159,92
2023,5*,155,90
2023,5,135,82
2023,4,121,71
2023,3,90,65
2023,2,75,42
2022,5**,184,88
2022,5*,174,84
2022,5,166,80
2022,4,140,67
2022,3,112,54
2021,5**,182,88
2021,5*,176,85
2021,5,158,76
2021,4,142,68
2021,3,104,50
2020,5**,100,89
2020,5*,97,86
2020,5,88,78
2020,4,77,68
2020,3,61,54
2020,2,52,46
2019,5**,160,88
2019,5*,155,85
2019,5,140,77
2019,4,124,68
2019,3,109,60
2019,2,67,37
2018,5**,188,90
2018,5*,178,85
2018,5,160,76
2018,4,140,67
2018,3,103,49
2018,2,82,39
2017,5**,187,89
2017,5*,173,82
2017,5,160,76
2017,4,138,66
2017,3,107,51
2016,5**,184,88
2016,5*,177,84
2016,5,160,76
2016,4,143,68
2016,3,96,46
2015,5**,186,89
2015,5*,175,83
2015,5,161,77
2015,4,136,65
2015,3,119,57
2015,2,92,44
2014,5**,134,65
2014,5*,127,62
2014,5,120,58
2014,4,111,54
2014,3,100,49
2013,5**,189,90
2013,5*,183,87
2013,5,161,77
2013,4,134,64
2013,3,103,49
2013,2,98,47
