year,level,score,percentage
2024,5**,149,83
2024,5*,133,74
2024,5,117,65
2024,4,94,52
2024,3,66,37
2023,5**,156,89
2023,5*,144,83
2023,5,129,80
2023,4,112,75
2023,3,83,53
2023,2,50,29
2022,5**,171,84
2022,5*,158,77
2022,5,146,72
2022,4,123,60
2022,3,96,47
2022,2,75,37
2021,5**,173,84
2021,5*,156,76
2021,5,149,73
2021,4,123,60
2021,3,101,49
2021,2,66,32
2020,5**,97,89
2020,5*,93,85
2020,5,86,79
2020,4,72,66
2020,3,58,53
2020,2,47,43
2019,5**,146,84
2019,5*,133,77
2019,5,125,72
2019,4,107,62
2019,3,85,49
2019,2,41,24
2018,5**,85,82
2018,5*,81,78
2018,5,75,72
2018,4,66,64
2018,3,58,56
2018,2,38,37
2017,5**,89,82
2017,5*,81,75
2017,5,78,72
2017,4,67,62
2017,3,57,53
2017,2,43,40
2016,5**,99,85
2016,5*,92,79
2016,5,87,75
2016,4,79,68
2016,3,56,48
2016,2,40,35
2015,5**,98,85
2015,5*,92,79
2015,5,90,78
2015,4,75,65
2015,3,54,47
2015,2,34,29
2014,5**,54,75
2014,5*,51,71
2014,5,47,65
2014,4,42,58
2014,3,36,50
2014,2,29,40
2013,5**,97,87
2013,5*,92,82
2013,5,88,79
2013,4,74,61
2013,3,55,49
2013,2,28,25
